fen,phase_score,is_endgame,status,result_white,our_total,sf_static_cp,pieces,capture_gains,passed_pawn_support,latent_threat,central,imbalance_white,imbalance_black,pair_bonus,piece_value_boost
rnb1kb1r/1pqppp1p/p4np1/2P5/P7/3BPN2/1PPN1PPP/R1BQK2R b KQkq - 0 7,0,0,near_equal,1.0,-749,47,-1409,1060,0,0,-400,0,0,0,0
4rrk1/p5p1/8/1p3bnP/1P1P4/P3p1K1/1B3RN1/R7 w - - 0 37,64,0,black_winning,0.0,4519,-183,467,0,-225,716,300,0,3261,0,0
1n2k2r/r3Ppbp/2p3p1/q7/PpQP4/1N3NP1/1P3P1P/R2R2K1 b k - 3 22,21,0,white_winning,1.0,-2349,374,-4067,2097,507,-336,-350,0,0,-200,0
r1b1k2r/ppp3pp/1bnp4/4pqB1/8/P2P1NP1/1PP1QPBP/R3K2R b KQkq - 3 11,10,0,near_equal,0.5,-314,-54,-714,0,0,0,400,0,0,0,0
r1b1k3/1p3p2/p3pn2/2bp2p1/6pr/P1NBPn2/1PP1NP1q/R1BQ1KR1 w q - 8 18,0,0,black_winning,0.0,7283,-492,2658,1750,0,1760,400,0,0,0,715
r1b1kbnr/pp3p1p/2n1p1p1/2pq4/8/4PB2/PPNP1PPP/R1BQK1NR b KQkq - 1 7,0,0,near_equal,0.0,664,-24,175,0,0,89,400,0,0,0,0
r3k2r/pp2ppbp/2n1bnp1/2qp4/5BP1/3BPN1P/PPPN1P2/R1Q1K2R w KQkq - 2 12,0,0,near_equal,1.0,572,-50,172,0,0,0,400,0,0,0,0
1k5B/3r4/3PQ3/p1p3q1/PnP1P3/8/1P6/1K1R4 b - - 2 39,53,0,white_winning,1.0,-5718,199,-4940,0,477,124,-300,0,0,0,-1079
1nbk1r2/1p1pqpQ1/r2p4/p1bN3p/8/4P1P1/PPP2NBP/R4RK1 w - - 4 19,10,0,white_winning,1.0,-8800,387,-1442,-5920,0,75,-400,0,0,100,-1213
2r5/1b1n1k2/pp1qpp1p/3p2pN/3P4/P2BP3/1P3PPP/1Q2K2R b K - 4 25,42,0,near_equal,0.0,-791,58,-1379,0,0,288,300,0,0,0,0
6k1/p7/3p4/3N4/3Pn2P/1qPK4/2R1P3/8 b - - 0 40,85,1,black_winning,0.0,5183,-386,2978,0,150,0,0,0,0,0,1250
1rb1k1nr/pp1pbp2/1qn1p1p1/2p1P2p/2P2B2/2NP1NP1/PP2QPBP/R3K2R b KQk - 2 11,0,0,near_equal,1.0,-1051,133,-651,0,0,0,-400,0,0,0,0
3k2r1/p2p4/6PP/1p1N2K1/4PP2/8/8/8 w - - 1 53,112,1,white_winning,1.0,-4326,571,-2361,0,730,0,0,0,0,0,0
7k/7p/5np1/8/1Qpr4/5B2/5K2/q4N2 b - - 5 55,58,0,black_winning,0.0,12298,-418,7005,0,140,79,300,0,2418,0,2356
7r/3Rnkb1/4p3/ppr1P1Bp/4B1pP/P7/1PP2PP1/2KR4 b - - 5 24,64,0,white_winning,1.0,-4823,352,-2896,0,0,285,-254,-1011,0,-300,-647
1r3k2/2r1pp2/p5pp/P2pP3/1P4P1/2nBPP1P/qp2Q3/4BKR1 w - - 1 37,37,0,black_winning,0.0,1305,-383,2696,-1030,210,-114,-234,0,0,-300,77
r2qkb1r/ppp2ppp/2n1b3/3p4/8/P1N5/1PPPQPPP/R1B1K1NR w KQkq - 2 10,10,0,near_equal,0.0,804,-129,304,0,0,0,400,0,0,100,0
8/1RR2ppk/1p4rp/4n3/1P6/P3P1P1/5PKP/8 w - - 9 36,90,1,white_winning,1.0,-6649,508,-4325,0,0,0,0,0,0,0,-1339
r3k1nr/1p1b1pbp/nqp3p1/p2p4/2PPN1P1/PP2BN1P/4BP2/R2Q1RK1 w kq - 0 18,0,0,white_winning,1.0,-1566,205,-1036,0,0,-130,-400,0,0,0,0
r1b1k1nr/1p5p/p2p1p2/2b1p3/1q1n3R/P1NQ2B1/1PP1PPP1/2KR1BN1 b kq - 0 16,0,0,white_winning,1.0,215,216,-335,0,0,150,400,0,0,0,0
r1r3k1/1p1b1pp1/1qn2n1p/pP1pp3/8/PQPBPNP1/3N1P1P/R4RK1 b - - 0 16,10,0,near_equal,1.0,629,-116,229,0,0,0,400,0,0,0,0
2r1k2r/1p2bpp1/p4n1p/2npp2P/P3P1P1/2NBBP2/1PP5/R3K2R w KQk - 0 18,53,0,near_equal,1.0,-1454,27,-605,-800,0,0,51,0,0,-100,0
r1b2rk1/4q1pp/p3p3/5p2/2PR4/2N1P3/PQ3PPP/5RK1 b - - 2 21,32,0,near_equal,0.5,-1992,101,-1796,0,297,0,-300,0,0,0,-193
3rkb1r/1pq1pppp/p5b1/2pP4/4P3/P1BP1Q2/4BPPP/R3K2R b KQk - 2 15,21,0,near_equal,1.0,-674,135,-324,0,0,0,-350,0,0,0,0
r5k1/3n4/3p2pp/2p1p2n/4P2P/1pN2rPN/5P2/2RR2K1 w - - 0 26,64,0,black_winning,0.0,3237,-228,4429,-1079,-625,-78,115,0,0,0,475
5B2/8/2p3k1/p4p1p/PP5P/2r3P1/8/5BK1 b - - 1 46,106,1,near_equal,0.5,-4802,139,-2868,90,0,0,0,0,0,-300,-829
r2k3r/1pp2p2/p2pbPpB/4n3/4P3/1P6/P1PQ2B1/4R1K1 w - - 1 29,53,0,white_winning,1.0,-2875,308,-2635,0,0,129,-69,0,0,-300,0
5R2/3k4/3p4/P6p/4PKp1/4B3/8/1r6 w - - 2 53,101,1,white_winning,1.0,-5782,317,-3101,0,-550,0,0,0,0,0,-1091
2krr3/Bp1n1p2/B3b2p/P2p2p1/3N1n2/4Q2P/2P2PP1/R5K1 b - - 0 28,42,0,white_winning,1.0,-2337,355,-5318,3250,0,-469,300,0,0,-100,0
r3kbnr/pppq1ppp/2n5/5b2/2B5/1QN1PNP1/PP1P3P/R1B1K2R b KQkq - 4 9,0,0,near_equal,0.5,-1944,-25,-332,-1015,0,0,-400,0,0,0,-197
